web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574849707-1338;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Poprad W - Slovan Bratislava W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/poprad-w-slovan-bratislava-w/byY8fR80/;21.03.2018 - 17:30;(15:7, 16:15, 25:11, 13:16);5th-8th places;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=x063vybN
1574849945-1414;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Slovan Bratislava W - Ruzomberok W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/slovan-bratislava-w-ruzomberok-w/nZsAX3mC/;04.11.2017 - 15:00;(12:19, 10:17, 11:6, 11:23);;
1574849987-1428;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Banska Bystrica W - Piestanske Cajky W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/banska-bystrica-w-piestanske-cajky-w/Oz3K48E1/;02.12.2017 - 18:00;(14:22, 14:10, 7:16, 7:7);;
1574849813-1371;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Poprad W - Good Angels Kosice W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/poprad-w-good-angels-kosice-w/WY7B61LF/;07.03.2018 - 17:30;(3:20, 9:17, 13:19, 11:29);Winners stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Gj57weDT
1574849903-1400;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Banska Bystrica W - Poprad W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/banska-bystrica-w-poprad-w/SteNSK0i/;07.10.2017 - 18:00;(24:7, 14:12, 11:11, 14:16);;
1574849725-1344;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Banska Bystrica W - Slovan Bratislava W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/banska-bystrica-w-slovan-bratislava-w/2RsqRsH4/;04.04.2018 - 18:00;(10:18, 19:5, 13:15, 17:10);5th-8th places;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=x063vybN
1574850014-1437;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Samorin W - Good Angels Kosice W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/samorin-w-good-angels-kosice-w/KtuA2Onn/;16.12.2017 - 18:00;(11:24, 12:15, 7:18, 13:15);;
1574849978-1425;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Nitra W - Samorin W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/nitra-w-samorin-w/tx1Xl5In/;26.11.2017 - 15:00;(9:12, 20:16, 19:16, 11:11);;
1574849764-1356;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Samorin W - Banska Bystrica W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/samorin-w-banska-bystrica-w/G0tY9zS7/;24.02.2018 - 18:00;(15:11, 22:5, 20:20, 14:9);Losers stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=SA60scTA
1574849749-1351;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Banska Bystrica W - Samorin W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/banska-bystrica-w-samorin-w/IkWhJv5L/;03.02.2018 - 18:00;(15:15, 12:17, 9:21, 7:14);Losers stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=SA60scTA
1574849969-1422;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Nitra W - Good Angels Kosice W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/nitra-w-good-angels-kosice-w/8lWIVsIO/;19.11.2017 - 15:00;(11:37, 12:19, 12:11, 12:22);;
